1033.29	505	0	527	0	109628
274.312	519	0	495	0	61742
8102.45	491	3	456	19	976079
522.243	513	0	480	0	74984
1801.29	423	0	413	0	187686
680.139	547	0	490	0	84001
2526.8	504	1	503	21	296462
254.446	477	0	518	0	60942
528.165	497	0	485	0	75062
3121.14	524	0	541	0	404857
859.208	480	0	475	0	95977
1556.44	551	0	550	0	159464
6078.09	453	0	418	0	885895
59.6432	488	0	504	0	52412
1570.73	487	0	424	0	160410
3228.18	567	0	580	0	428030
527.28	525	0	490	0	75257
126.65	466	0	467	0	55144
219.161	445	0	501	0	59094
217.929	475	0	533	0	58987
54.498	497	0	497	0	52215
569.171	536	0	525	0	77412
431.198	491	0	451	0	69760
1039.79	489	0	467	0	109555
10272.1	698	0	702	0	995846
104.167	474	0	532	0	54185
23.8403	493	0	492	0	50912
140.78	496	0	494	0	55782
8580.38	493	0	445	0	983523
507.189	487	0	498	0	73794
4395.61	398	0	417	0	661142
85.2581	491	0	516	0	53459
1314.89	488	0	480	0	133727
2445.22	536	0	506	0	281530
6322.83	613	0	622	0	904219
80.4391	515	0	510	0	53268
452.691	549	0	528	0	71139
2157	441	0	481	0	236757
226.888	485	0	517	0	59560
5377.64	632	0	550	0	815361
301.536	522	0	493	0	63099
41.5145	508	0	477	0	51670
1669.01	496	0	496	0	171013
2870.99	526	0	518	0	358654
2486.06	511	0	516	0	287832
2864.22	494	0	503	0	355813
6417.46	425	0	460	0	910462
9688.94	521	0	534	0	993409
2278.1	543	0	533	0	255495
2721.31	549	0	544	0	330181
939.193	530	0	501	0	101584
521.381	522	0	503	0	74487
189.347	461	0	492	0	57844
2216.62	541	0	517	0	243710
1162.11	516	0	542	0	120139
158.538	486	0	487	0	56621
5.64338	491	0	507	0	50247
13645.7	792	0	743	0	999740
1080.07	472	0	504	0	113604
214.778	508	0	501	0	58987
2484.92	484	0	416	0	287572
2159.44	520	0	539	0	236715
258.912	514	0	508	0	61054
71.1029	523	0	501	0	52830
4835.63	568	0	575	0	734851
1470.2	505	0	508	0	150134
98.7299	488	0	508	0	54004
746.054	523	0	524	0	88520
206.647	528	0	509	0	58424
46.8415	518	0	485	0	51839
1446.47	495	0	517	0	147178
9880.38	599	0	663	0	994377
388.789	486	0	522	0	67408
1737.6	422	0	412	0	180091
634.296	499	0	501	0	81850
5743.19	539	3	496	21	854547
487.984	454	0	457	0	72958
227.012	487	0	495	0	59614
3895.69	475	0	456	0	564154
5095.65	582	0	600	0	775062
141.621	536	0	494	0	55782
658.712	493	0	490	0	83053
260.332	527	0	498	0	61061
905.831	583	0	570	0	99594
850.975	483	0	503	0	95863
124.736	505	0	515	0	55144
370.325	485	0	506	0	66498
230.427	489	0	519	0	59714
74.3636	485	0	509	0	53049
286.996	446	0	485	0	62248
120.035	489	0	498	0	54881
1585.4	529	0	466	0	161613
1349.07	568	0	515	0	136743
720.212	543	0	519	0	87219
112.47	524	0	452	0	54575
4479.21	478	0	398	0	676553
129.222	522	0	457	0	55295
807.313	515	0	490	0	92527
550.037	483	0	462	0	76614
1320.47	517	0	486	0	134714
225.97	478	0	466	0	59482
5107.79	490	4	491	21	777265
3772.81	509	0	514	0	538706
298.361	501	0	510	0	63118
731.109	466	0	453	0	87133
133.787	496	0	469	0	55524
2684.51	491	0	535	0	324066
3658.72	513	0	569	0	516589
133.396	510	0	500	0	55496
8.34159	501	0	487	0	50363
4500.1	415	1	393	17	680629
46.0205	509	0	473	0	51881
8176.31	728	0	696	0	977207
1331.46	548	0	495	0	136011
1701.14	592	0	591	0	176650
16445.5	572	4	566	24	999966
7592.26	439	0	447	0	963833
4.7157	487	0	503	0	50195
1181.71	469	0	503	0	122371
288.938	498	0	461	0	62554
11.01	518	0	480	0	50404
2067.8	491	0	468	0	225106
141.938	531	0	476	0	55952
830.999	520	0	493	0	94289
269.392	537	0	483	0	61601
2883.77	471	0	449	0	360619
463.877	492	0	494	0	71512
157.148	528	0	511	0	56492
2391.11	533	0	534	0	272766
703.836	467	0	457	0	85649
36.2969	508	0	510	0	51360
1048.6	515	0	538	0	110864
371.936	549	0	440	0	66685
4432.36	504	0	531	0	669124
199.231	467	0	513	0	58414
420.116	534	0	543	0	69238
3700.11	549	0	529	0	522345
812.054	520	0	526	0	93256
2589.86	462	0	474	0	306079
818.982	455	0	477	0	93542
100.647	497	0	510	0	54063
726.265	524	0	490	0	87450
470.02	491	0	496	0	72044
14.8998	506	0	493	0	50565
846.879	506	0	495	0	95069
787.179	481	0	488	0	91535
1156.81	464	0	503	0	120094
188.003	488	0	506	0	57683
1400.86	510	0	508	0	142722
201.366	493	0	513	0	58594
58.5885	505	0	504	0	52319
709.287	486	0	492	0	86276
2796.5	592	0	631	0	342063
303.286	544	0	481	0	63156
113.563	481	0	498	0	54704
329.332	521	0	495	0	64231
1872.06	561	0	553	0	196907
3688.68	457	0	449	0	521236
259.025	486	0	501	0	60976
357.048	516	0	501	0	65866
2254.87	519	0	496	0	251531
1227.05	510	0	510	0	125820
98.3968	482	0	517	0	53986
8240.04	577	2	548	23	978443
387.219	527	0	506	0	67562
3351.3	392	0	437	0	451756
334.89	488	0	519	0	64835
418.906	500	0	514	0	69064
40.1821	511	0	496	0	51588
1995.71	553	0	560	0	212092
1097.63	476	0	565	0	115096
1174.58	470	0	451	0	122135
700.557	530	0	535	0	85872
57.5869	458	0	531	0	52299
1112.02	479	0	481	0	115315
295.887	492	0	494	0	63182
878.132	559	0	557	0	97608
2554.37	516	0	492	0	300630
490.711	524	0	534	0	73018
2275.12	626	0	588	0	253819
1169.54	483	0	440	0	121430
51.5229	463	0	502	0	52107
118.824	513	0	502	0	54800
73.8098	484	0	518	0	52873
231.55	539	0	510	0	59623
1166.71	490	0	448	0	121209
141.751	478	0	515	0	55766
111.868	483	0	533	0	54547
1032.46	534	0	503	0	108991
3404.32	526	2	455	19	463146
1453.77	526	0	497	0	148538
304.52	523	0	507	0	63283
121.418	497	0	485	0	54847
530.553	502	0	482	0	75097
5996.25	560	4	527	22	878997
201.024	523	0	490	0	58586
369.553	468	0	467	0	66611
118.532	505	0	522	0	54735
1181.12	519	0	548	0	121922
392.478	460	0	500	0	67646
4016.58	500	0	464	0	588063
334.253	486	0	560	0	64863
169.456	485	0	520	0	56935
8226.9	669	0	675	0	978053
7945.56	542	2	525	22	972761
314.342	525	0	496	0	63746
211.871	499	0	512	0	58946
699.134	466	0	437	0	85755
147.521	502	0	525	0	55825
249.902	506	0	475	0	60794
3259.83	561	0	537	0	436494
436.604	566	0	540	0	70021
5159.84	318	0	349	0	784085
779.681	574	0	495	0	90908
1511.2	492	0	526	0	153529
1109.47	509	0	514	0	116214
1385.46	510	0	471	0	141495
349.901	465	0	511	0	65558
143.773	528	0	508	0	56001
2222.48	459	0	448	0	245992
