"time","counts","cdf","time.since"
1,10,0.123456790123457,7
2,11,0.259259259259259,10
3,3,0.296296296296296,12
4,3,0.333333333333333,15
5,6,0.407407407407407,20
6,9,0.518518518518518,25
7,10,0.641975308641975,30
8,5,0.703703703703704,35
9,3,0.740740740740741,40
10,3,0.777777777777778,42
11,4,0.827160493827161,45
12,6,0.901234567901235,50
13,8,1,55
14,0,1,56
